Province_Code,Province_Name,District_Code,District_Name,DSD_Code,DSD_Name,GND_Code,GND_Name,AG_0_14,AG_15_59,AG_60_64,AG_65_and_above,Male,Female,Total,Occupied_Housing_Units,Poverty_Percentage,Unemployment_Rate,Road_Density,Road_Length
1,Western,11,Colombo,12,Homagama,45,Habarakada North,648,2275,160,380,1673,1790,3463,928,14.1,7.89,4.054158836,4.916914679
1,Western,11,Colombo,12,Homagama,60,Habarakada South,492,1919,166,411,1461,1527,2988,876,10.32,5.3,7.770481517,6.744903993
1,Western,11,Colombo,12,Homagama,110,Habarakada Watta,439,1864,200,511,1413,1601,3014,879,12.55,5.12,12.3710783,9.234127444
1,Western,11,Colombo,6,Kolonnawa,15,Halmulla,420,1521,132,301,1175,1199,2374,659,11.75,4.65,11.03145841,4.842832984
1,Western,11,Colombo,18,Padukka,45,Halpe,189,638,49,112,480,508,988,310,12.56,4.73,8.294356712,37.35473171
1,Western,11,Colombo,36,Kesbewa,325,Halpita,937,3721,378,946,2833,3149,5982,1682,11.78,6.06,6.931049856,17.36374188
1,Western,11,Colombo,15,Seethawaka,205,Hanwella Town,480,1754,160,415,1412,1397,2809,801,19.49,6.54,6.602747006,9.34329992
1,Western,11,Colombo,30,Dehiwala,30,Hathbodhiya,1415,4920,393,1018,3884,3862,7746,1969,5.57,4.62,17.30948511,7.31824133
1,Western,11,Colombo,27,Thimbirigasyaya,70,Havelock Town,830,4095,470,1383,3159,3619,6778,2082,6.73,2.71,14.87680828,19.43413375
1,Western,11,Colombo,36,Kesbewa,245,Hedigama,766,2913,337,709,2209,2516,4725,1293,13.05,6.65,8.017424369,6.907868539
1,Western,11,Colombo,12,Homagama,70,Henawatta,1389,5744,460,999,4200,4392,8592,2384,11.32,6.63,9.181944113,21.73979417
1,Western,11,Colombo,12,Homagama,10,Henpita,279,1226,69,177,894,857,1751,533,7.15,4.57,18.05740763,20.53047318
1,Western,11,Colombo,12,Homagama,395,Heraliyawala,210,820,79,166,648,627,1275,343,11.93,7.35,8.660282891,20.47791886
1,Western,11,Colombo,9,Kaduwela,15,Hewagama,777,2979,263,518,2279,2258,4537,1299,10.73,6.06,11.51579751,12.43751786
1,Western,11,Colombo,6,Kolonnawa,175,Himbutana East,651,2533,265,583,1897,2135,4032,1121,13.29,4.27,16.25847517,10.443847
1,Western,11,Colombo,6,Kolonnawa,180,Himbutana West,620,2440,239,599,1878,2020,3898,1093,12.56,4.21,15.74969837,7.779715059
1,Western,11,Colombo,15,Seethawaka,170,Hingurala,403,1320,128,277,1063,1065,2128,616,19.99,6.7,1.215798078,5.972774973
1,Western,11,Colombo,12,Homagama,205,Hiripitiya,866,3441,270,678,2565,2690,5255,1545,9.89,5.29,7.117498572,20.32831382
1,Western,11,Colombo,9,Kaduwela,220,Hokandara East,1142,4644,393,869,3443,3605,7048,2016,11.23,5.93,11.61973245,25.01517687
1,Western,11,Colombo,9,Kaduwela,195,Hokandara North,1103,4580,431,960,3457,3617,7074,2033,11.21,5.62,11.36711373,21.87401877
1,Western,11,Colombo,9,Kaduwela,280,Hokandara South,1019,4276,374,863,3158,3374,6532,1842,11.74,5.96,9.615224564,17.03818853
1,Western,11,Colombo,12,Homagama,140,Homagama East,408,1577,135,323,1183,1260,2443,714,10.65,5.39,7.944223812,5.330612092
1,Western,11,Colombo,12,Homagama,115,Homagama North,327,1410,122,355,1071,1143,2214,638,11.58,5.6,4.902519016,3.876443452
1,Western,11,Colombo,12,Homagama,125,Homagama South,645,2345,193,470,1770,1883,3653,1041,11.9,6.14,6.719299563,9.123691166
1,Western,11,Colombo,12,Homagama,135,Homagama Town,358,1506,130,336,1136,1194,2330,652,11.98,6.35,11.63622076,10.59199363
1,Western,11,Colombo,12,Homagama,120,Homagama West,542,2454,217,502,1745,1970,3715,1088,10.74,5.09,10.00466636,9.082326545
1,Western,11,Colombo,36,Kesbewa,270,Honnanthara North,514,2360,219,638,1790,1941,3731,1134,8.16,3.96,9.481511373,9.126016859
